step,train_mean_reward,full_valid_mean_reward,full_valid_mean_parse_error,completion_tokens_mean,mean_unresponsive_rewards,usage/samples/train_reasoning_tokens_mean,usage/samples/valid_reasoning_tokens_mean,usage/samples/train_reasoning_tokens_count,usage/samples/valid_reasoning_tokens_count,sampling_duration,training_duration,eval_duration,total_duration,reasoning_tokens_mean,scores_mean/intent,scores_mean/outcome,errors/graders/multi/label_match/errors/train_sample_parse_error_mean,errors/graders/multi/label_match/errors/train_sample_parse_error_count,errors/graders/multi/label_match/errors/train_invalid_variable_error_mean,errors/graders/multi/label_match/errors/train_invalid_variable_error_count,errors/graders/multi/label_match/errors/train_other_error_mean,errors/graders/multi/label_match/errors/train_other_error_count,errors/graders/multi/label_match/errors/valid_sample_parse_error_mean,errors/graders/multi/label_match/errors/valid_sample_parse_error_count,errors/graders/multi/label_match/errors/valid_invalid_variable_error_mean,errors/graders/multi/label_match/errors/valid_invalid_variable_error_count,errors/graders/multi/label_match/errors/valid_other_error_mean,errors/graders/multi/label_match/errors/valid_other_error_count,scores/graders/multi/label_match/train_reward_mean,scores/graders/multi/label_match/valid_reward_mean,timing/graders/multi/label_match/timing/train_execution_latency_mean,timing/graders/multi/label_match/timing/train_execution_latency_count,timing/graders/multi/label_match/timing/valid_execution_latency_mean,timing/graders/multi/label_match/timing/valid_execution_latency_count,errors/graders/string_check/intent_match/errors/train_sample_parse_error_mean,errors/graders/string_check/intent_match/errors/train_sample_parse_error_count,errors/graders/string_check/intent_match/errors/train_invalid_variable_error_mean,errors/graders/string_check/intent_match/errors/train_invalid_variable_error_count,errors/graders/string_check/intent_match/errors/train_other_error_mean,errors/graders/string_check/intent_match/errors/train_other_error_count,errors/graders/string_check/intent_match/errors/valid_sample_parse_error_mean,errors/graders/string_check/intent_match/errors/valid_sample_parse_error_count,errors/graders/string_check/intent_match/errors/valid_invalid_variable_error_mean,errors/graders/string_check/intent_match/errors/valid_invalid_variable_error_count,errors/graders/string_check/intent_match/errors/valid_other_error_mean,errors/graders/string_check/intent_match/errors/valid_other_error_count,scores/graders/string_check/intent_match/train_reward_mean,scores/graders/string_check/intent_match/valid_reward_mean,timing/graders/string_check/intent_match/timing/train_execution_latency_mean,timing/graders/string_check/intent_match/timing/train_execution_latency_count,timing/graders/string_check/intent_match/timing/valid_execution_latency_mean,timing/graders/string_check/intent_match/timing/valid_execution_latency_count,errors/graders/string_check/outcome_match/errors/train_sample_parse_error_mean,errors/graders/string_check/outcome_match/errors/train_sample_parse_error_count,errors/graders/string_check/outcome_match/errors/train_invalid_variable_error_mean,errors/graders/string_check/outcome_match/errors/train_invalid_variable_error_count,errors/graders/string_check/outcome_match/errors/train_other_error_mean,errors/graders/string_check/outcome_match/errors/train_other_error_count,errors/graders/string_check/outcome_match/errors/valid_sample_parse_error_mean,errors/graders/string_check/outcome_match/errors/valid_sample_parse_error_count,errors/graders/string_check/outcome_match/errors/valid_invalid_variable_error_mean,errors/graders/string_check/outcome_match/errors/valid_invalid_variable_error_count,errors/graders/string_check/outcome_match/errors/valid_other_error_mean,errors/graders/string_check/outcome_match/errors/valid_other_error_count,scores/graders/string_check/outcome_match/train_reward_mean,scores/graders/string_check/outcome_match/valid_reward_mean,timing/graders/string_check/outcome_match/timing/train_execution_latency_mean,timing/graders/string_check/outcome_match/timing/train_execution_latency_count,timing/graders/string_check/outcome_match/timing/valid_execution_latency_mean,timing/graders/string_check/outcome_match/timing/valid_execution_latency_count,timestamp
1,0.5958904109589042,0.625,,313.98238747553813,0,268.3988095238095,356,504,1,125.23793625831604,63.818217039108276,8.392333984375E-05,64.57711839675903,268.3988095238095,,,0,504,0,504,0,504,0,20,0,20,0,20,0.6180555555555556,0.625,1.394327301827688,504,0.3509266138076782,20,0.003968253968253968,504,0,504,0,504,0.05,20,0,20,0,20,0.6746031746031746,0.7,0.010317977458711654,504,0.008815324306488037,20,0.003968253968253968,504,0,504,0,504,0.05,20,0,20,0,20,0.5615079365079365,0.55,0.008932064449976362,504,0.008557844161987304,20,2026-06-18T03:54:03.6920000Z
2,0.7015655577299413,,,348.57729941291586,0,302.04373757455267,,503,,127.09470319747925,43.00177073478699,9.942054748535156E-05,43.66574454307556,302.04373757455267,,,0,503,0,503,0,503,,,,,,,0.7286282306163022,,1.4377630098202594,503,,,0,503,0,503,0,503,,,,,,,0.8667992047713717,,0.010740898238498695,503,,,0,503,0,503,0,503,,,,,,,0.5904572564612326,,0.009131711709570459,503,,,2026-06-18T03:55:51.4700000Z
3,0.5587084148727984,,,331.29745596868884,0,285.304780876494,,502,,114.41251134872437,42.120229959487915,8.344650268554688E-05,42.48221945762634,285.304780876494,,,0,502,0,502,0,502,,,,,,,0.5866533864541833,,1.4119646269011783,502,,,0,502,0,502,0,502,,,,,,,0.8426294820717132,,0.010500105253728737,502,,,0,502,0,502,0,502,,,,,,,0.33067729083665337,,0.009061515093799606,502,,,2026-06-18T03:57:31.6580000Z
4,0.4863013698630137,,,355.38747553816046,0,309.85573122529644,,506,,140.91396188735962,41.966225147247314,9.489059448242188E-05,42.60268592834473,309.85573122529644,,,0,506,0,506,0,506,,,,,,,0.5009881422924901,,1.4143269377734822,506,,,0,506,0,506,0,506,,,,,,,0.5691699604743083,,0.010414968837391247,506,,,0,506,0,506,0,506,,,,,,,0.43280632411067194,,0.009030791139414188,506,,,2026-06-18T03:59:24.9300000Z
5,0.6115459882583171,0.625,,369.3522504892368,0,324.97222222222223,276,504,1,109.12009572982788,45.36746382713318,34.08907413482666,79.9253442287445,324.97222222222223,,,0,504,0,504,0,504,0,20,0,20,0,20,0.6339285714285714,0.625,1.4097581458470179,504,0.432580828666687,20,0,504,0,504,0,504,0,20,0,20,0,20,0.6428571428571429,0.65,0.010364950649322026,504,0.011691975593566894,20,0,504,0,504,0,504,0,20,0,20,0,20,0.625,0.6,0.009091026253170438,504,0.00974130630493164,20,2026-06-18T04:01:39.7650000Z
6,0.726027397260274,,,315.64579256360076,0,270.4107142857143,,504,,107.87226057052612,42.31030344963074,8.940696716308594E-05,43.06409764289856,270.4107142857143,,,0,504,0,504,0,504,,,,,,,0.75,,1.4197946119876135,504,,,0,504,0,504,0,504,,,,,,,0.8492063492063492,,0.010380053330981543,504,,,0,504,0,504,0,504,,,,,,,0.6507936507936508,,0.009199952322339255,504,,,2026-06-18T04:03:37.1060000Z
7,0.4882583170254403,,,323.6105675146771,0,277.8412698412698,,504,,110.11073088645935,42.33708953857422,9.202957153320312E-05,43.158586263656616,277.8412698412698,,,0,504,0,504,0,504,,,,,,,0.5089285714285714,,1.4081246006110357,504,,,0,504,0,504,0,504,,,,,,,0.44642857142857145,,0.01028690120530507,504,,,0,504,0,504,0,504,,,,,,,0.5714285714285714,,0.009134936427313185,504,,,2026-06-18T04:05:15.8960000Z
8,0.6692759295499021,,,351.8003913894325,0,305.8178217821782,,505,,112.79241824150085,43.67289400100708,8.296966552734375E-05,44.46087455749512,305.8178217821782,,,0,505,0,505,0,505,,,,,,,0.689108910891089,,1.3938291832952217,505,,,0,505,0,505,0,505,,,,,,,0.6118811881188119,,0.009836364500593432,505,,,0,505,0,505,0,505,,,,,,,0.7663366336633664,,0.009346624412158928,505,,,2026-06-18T04:07:01.4780000Z
9,0.7181996086105675,,,355.2074363992172,0,310.0316831683168,,505,,112.40378260612488,43.19022536277771,9.202957153320312E-05,43.471922874450684,310.0316831683168,,,0,505,0,505,0,505,,,,,,,0.7386138613861386,,1.3740341394254476,505,,,0,505,0,505,0,505,,,,,,,0.7663366336633664,,0.00978156316398394,505,,,0,505,0,505,0,505,,,,,,,0.7108910891089109,,0.009139100631864945,505,,,2026-06-18T04:08:41.7090000Z
10,0.586105675146771,0.725,,338.42074363992174,0,293.31496062992125,308,508,1,128.3016107082367,43.19757890701294,34.860875844955444,78.57510137557983,293.31496062992125,,,0,508,0,508,0,508,0,20,0,20,0,20,0.5954724409448819,0.725,1.4223553026755025,508,0.4397808790206909,20,0,508,0,508,0,508,0,20,0,20,0,20,0.5590551181102362,0.7,0.010249472978546864,508,0.00952225923538208,20,0,508,0,508,0,508,0,20,0,20,0,20,0.6318897637795275,0.75,0.009219531937846987,508,0.012268304824829102,20,2026-06-18T04:11:04.7930000Z
